Locus_Tag,A_1,A_2,CO_1,CO_2,CO_3,H2_1,H2_2,H2_3,S_1,S_2,S_3
BFJEKD_00005,9784.365806,2602.754385,2827.945923,1806.205232,3253.90561,683.9103531,623.3179794,977.9849494,871.2275928,2561.520013,2008.896872
BFJEKD_00010,12.68379265,56.84303236,27.61659111,18.00225763,21.02439568,28.93919146,31.57550109,30.58843626,8.706456615,24.9480862,30.40417165
BFJEKD_00015,24.72004582,91.66131865,27.66489942,17.51933293,20.94137975,42.84529529,35.44077491,35.97689464,12.51566275,23.227057,27.30338834
BFJEKD_00020,132.5394882,379.9886653,36.6198622,62.63701032,37.43817828,60.37485007,85.29330737,38.39887031,102.9997126,38.46329079,29.0742449
BFJEKD_00025,53.9576149,125.1396329,29.39745486,50.25830994,27.09294943,76.0771175,86.58910276,65.75086186,40.58068654,39.94640921,56.74053605
BFJEKD_00030,211.5186233,343.9173248,717.1032602,693.8202051,681.4922946,429.3534005,535.4947684,718.0272205,669.2049394,510.6934873,554.1789593
BFJEKD_00035,20.04965424,44.61849721,83.62436421,78.32236733,92.0926995,97.58327261,100.2721871,90.84745616,49.06847853,63.92734417,66.39039204
BFJEKD_00040,132.3273173,77.06607908,766.0763005,403.2699095,943.7615351,172.5675937,162.0316731,637.1360533,443.9957777,850.0038354,795.0249552
BFJEKD_00045,79.47328212,87.22886375,127.7394696,132.708692,157.6134392,350.6768371,269.0742806,236.7225082,150.6781699,133.7657388,192.3975216
BFJEKD_00050,9.110581998,36.9096112,14.38612307,19.85750309,28.0833027,68.7876439,30.11119545,20.60223078,24.695161,28.58318544,21.14490538
BFJEKD_00055,9.381716714,45.32652207,9.432388749,10.75233527,13.98673514,91.03109496,49.51750344,18.6947804,8.052217112,13.33714608,16.26773226
BFJEKD_00060,59.3139284,183.0471447,107.6862637,122.2386664,166.3026579,233.2284946,186.2950278,106.0499496,86.44931064,117.9211923,117.9270181
BFJEKD_00065,151.4990139,202.7956127,257.7955072,288.5098657,423.5982644,314.2093582,298.2990403,190.8313902,617.867514,269.0266795,157.0528407
BFJEKD_00070,19.95305341,44.2824551,63.24178482,74.00860435,54.22510088,111.1019603,94.6001399,65.14813789,80.15182616,67.7695975,68.91277156
BFJEKD_00075,6.317654353,24.04362258,7.808949291,13.95057993,8.5844512,39.58923249,26.02545964,12.69729328,17.59181048,15.96938851,16.30619026
BFJEKD_00080,19.69738423,68.93188683,19.47759292,34.20971045,17.17773868,33.20480221,32.84014856,24.56073446,46.27780929,28.46857598,26.78054114
BFJEKD_00085,10.99312573,60.18616429,23.64325055,26.82291269,16.31106139,32.27832893,42.75279269,19.67756547,30.20361469,21.77493238,18.64820373
BFJEKD_00090,2.150476959,10.86456218,4.30973713,4.504083821,5.669042152,6.601948016,5.413144294,3.861785782,5.736345426,6.599883269,7.019031437
BFJEKD_00095,2.669895666,22.07607769,7.584509009,7.87478619,6.115938846,5.592031567,5.900282875,3.63322006,9.2000015,8.515438118,6.139902649
BFJEKD_00100,6.197009812,27.08327146,10.66483517,24.04248881,9.053360801,13.84298654,10.61026897,9.727334579,29.65799246,10.54166474,20.73056147
