"","A_1","A_2","CO_1","CO_2","CO_3","H2_1","H2_2","H2_3","S_1","S_2","S_3"
"BFJEKD_00005",754721,155481,176477,93644,169160,32699,39314,63216,59192,145636,100482
"BFJEKD_00010",478,1659,842,456,534,676,973,966,289,693,743
"BFJEKD_00015",296,850,268,141,169,318,347,361,132,205,212
"BFJEKD_00020",935,2076,209,297,178,264,492,227,640,200,133
"BFJEKD_00025",1182,2123,521,740,400,1033,1551,1207,783,645,806
"BFJEKD_00030",1983,2497,5439,4372,4306,2495,4105,5641,5526,3529,3369
"BFJEKD_00035",951,1639,3209,2497,2944,2869,3889,3611,2050,2235,2042
"BFJEKD_00040",5687,2565,26636,11649,27336,4597,5694,22946,16807,26926,22156
"BFJEKD_00045",2427,2063,3156,2724,3244,6638,6719,6058,4053,3011,3810
"BFJEKD_00050",400,1255,511,586,831,1872,1081,758,955,925,602
"BFJEKD_00055",209,782,170,161,210,1257,902,349,158,219,235
"BFJEKD_00060",1459,3487,2143,2021,2757,3556,3747,2186,1873,2138,1881
"BFJEKD_00065",900,933,1239,1152,1696,1157,1449,950,3233,1178,605
"BFJEKD_00070",576,990,1477,1436,1055,1988,2233,1576,2038,1442,1290
"BFJEKD_00075",95,280,95,141,87,369,320,160,233,177,159
"BFJEKD_00080",245,664,196,286,144,256,334,256,507,261,216
"BFJEKD_00085",50,212,87,82,50,91,159,75,121,73,55
"BFJEKD_00090",103,403,167,145,183,196,212,155,242,233,218
"BFJEKD_00095",57,365,131,113,88,74,103,65,173,134,85
"BFJEKD_00100",130,440,181,339,128,180,182,171,548,163,282
"BFJEKD_00105",805,1069,554,643,480,1110,1110,968,799,545,607
"BFJEKD_00110",338,1005,1839,1709,1059,1561,2568,2209,2706,998,1278
"BFJEKD_00115",0,0,0,0,0,0,0,0,0,0,0
"BFJEKD_00120",108,106,185,248,139,217,325,252,577,154,178
"BFJEKD_00125",10625,3686,3100,7699,2689,9803,17489,5298,37141,3679,3419
"BFJEKD_00130",1630,1154,676,953,398,4526,10206,1189,3326,404,541
"BFJEKD_00135",1894,2620,1874,2414,1152,6076,8608,3268,5338,1635,1834
"BFJEKD_00140",873,1186,427,782,180,4672,3556,1038,1809,456,608
"BFJEKD_00145",504,909,343,327,195,6206,2742,735,611,290,289
"BFJEKD_00150",297,379,299,264,215,644,448,443,348,287,263
"BFJEKD_00155",0,0,0,0,0,0,0,0,0,0,0
"BFJEKD_00160",1584,4825,3753,4242,3828,6686,6035,4875,5879,4414,3800
"BFJEKD_00165",283,1439,1393,797,939,794,907,1106,1113,1269,1065
"BFJEKD_00170",733,2520,1831,1626,1609,1796,1792,1814,2130,2022,1917
"BFJEKD_00175",500,1951,534,606,390,3095,2028,773,860,504,667
"BFJEKD_00180",2185,6771,1490,1811,1153,10307,6583,2014,1882,1433,1838
"BFJEKD_00185",2205,4958,576,1127,447,1706,4121,553,1509,535,513
"BFJEKD_00190",1441,1852,3272,2841,4291,5271,4951,4578,5905,3714,2387
"BFJEKD_00195",274,503,585,638,1026,1120,874,792,774,1057,640
"BFJEKD_00200",466,1190,1398,891,2604,1484,1086,1334,322,2559,1058
"BFJEKD_00205",694,1763,839,857,914,1215,1297,894,586,1146,1351
"BFJEKD_00210",5088,3661,2742,3480,2772,1775,2527,2710,3789,3007,3479
"BFJEKD_00215",3891,2076,1096,1962,1147,743,927,1220,1894,1391,1740
"BFJEKD_00220",464,988,899,736,938,1617,1285,974,424,1293,952
"BFJEKD_00225",462,419,331,277,406,1150,936,574,545,362,225
"BFJEKD_00230",6461,2731,2964,3085,3000,5113,5335,4606,6056,2262,1892
"BFJEKD_00235",5315,1693,1790,2246,1333,2490,3505,2461,3807,992,1336
"BFJEKD_00240",1711,3435,2313,2456,4951,3479,2435,1770,3309,4972,1366
"BFJEKD_00245",1838,5108,2427,2132,3746,10316,6811,2654,4183,3166,1325
"BFJEKD_00250",579,3391,779,474,998,1693,1546,928,1014,740,411
"BFJEKD_00285",2386,915,6220,3153,8711,410,782,2667,3588,8673,3193
"BFJEKD_00290",2317,2276,1500,1695,1796,1388,1856,2225,1819,2093,1573
"BFJEKD_00295",738,1062,1133,1119,1036,810,1148,1221,1511,1232,911
"BFJEKD_00300",62570,59522,476321,262844,424007,87945,143796,248962,205328,465627,305997
"BFJEKD_00305",816,1287,8889,5915,9500,7825,8379,9870,3795,10615,7795
"BFJEKD_00310",283,850,4451,2143,4314,4211,3999,4737,1246,4204,3307
"BFJEKD_00315",192,677,2895,1300,2312,2279,1858,2938,1080,2699,2420
"BFJEKD_00320",201,565,2022,1362,1889,1151,1197,2485,940,2191,2056
"BFJEKD_00325",3209,2492,4484,10574,3522,1994,2198,5541,4123,3822,12775
"BFJEKD_00330",35524,6671,4646,11768,3623,1982,2497,5479,6642,3105,9355
"BFJEKD_00335",680,1256,1614,1613,938,2849,4984,2617,1526,1050,1505
"BFJEKD_00340",1883,2094,4213,4202,2993,3299,5238,4540,8797,2829,2856
"BFJEKD_00345",181,522,343,289,316,426,406,441,404,406,200
"BFJEKD_00350",121,464,137,173,92,170,145,166,246,103,112
"BFJEKD_00355",31,95,15,37,7,42,44,52,57,10,32
"BFJEKD_00360",337,290,87,282,79,166,242,204,550,94,171
"BFJEKD_00365",1548,1381,334,928,305,465,795,642,1944,273,450
"BFJEKD_00370",313,393,855,714,1098,1597,1719,1729,1609,1160,439
"BFJEKD_00375",963,2708,1430,981,1096,974,953,1289,1308,1282,804
"BFJEKD_00380",64,149,81,42,93,112,134,55,253,66,25
"BFJEKD_00385",130,339,107,130,82,101,184,151,169,136,105
