"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","38/346","377/14346",6.75851449840207e-14,1.13543043573155e-11,8.1813596559604e-12,"K00175/K17865/K00029/K00625/K13788/K00282/K02437/K00605/K14446/K21071/K01715/K08691/K00031/K15024/K14449/K00239/K00240/K00024/K01903/K01902/K00164/K00658/K00382/K01808/K11645/K03781/K00196/K00198/K00626/K00297/K00627/K00162/K00161/K01689/K00140/K01679/K01676/K14448",38
"Metabolism","Carbohydrate metabolism","ko00020","Citrate cycle (TCA cycle)","15/346","70/14346",8.71715300010573e-11,7.32240852008881e-09,5.27617155269557e-09,"K00175/K00031/K00239/K00240/K00024/K01903/K01902/K00164/K00658/K00382/K00627/K00162/K00161/K01679/K01676",15
"Metabolism","Carbohydrate metabolism","ko00650","Butanoate metabolism","18/346","114/14346",2.39920557551932e-10,1.34355512229082e-08,9.68100495384988e-09,"K03821/K00175/K17865/K05973/K01692/K01715/K01652/K01653/K00656/K00019/K00239/K00240/K01028/K01034/K00626/K01029/K01035/K01640",18
"Metabolism","Energy metabolism","ko00720","Other carbon fixation pathways","18/346","121/14346",6.55805975934203e-10,2.75438509892365e-08,1.98467597980088e-08,"K00175/K00625/K13788/K08691/K00031/K15024/K14449/K00239/K00240/K00024/K01903/K01902/K00196/K00198/K00626/K00297/K01679/K01676",18
"Metabolism","Energy metabolism","ko00190","Oxidative phosphorylation","24/346","224/14346",9.72832429879677e-10,3.26871696439571e-08,2.35527851444553e-08,"K02109/K00407/K00413/K00239/K00240/K02113/K02112/K02133/K02114/K00337/K00334/K03943/K00335/K00336/K03878/K00338/K00339/K00340/K03882/K00341/K00342/K00343/K03879/K01535",24
"Cellular Processes","Cellular community - prokaryotes","ko02024","Quorum sensing","26/346","283/14346",5.25669242808467e-09,1.47187387986371e-07,1.06056075303463e-07,"K02035/K03073/K02034/K02031/K01999/K01995/K01996/K01998/K03217/K01997/K01897/K02053/K02054/K02055/K02032/K10823/K15583/K15582/K02033/K15581/K15580/K03106/K10715/K03666/K11752/K01657",26
"Metabolism","Global and overview maps","ko01210","2-Oxocarboxylic acid metabolism","16/346","113/14346",1.23227091752037e-08,2.9574502020489e-07,2.13099481977207e-07,"K00175/K05825/K00821/K00031/K01652/K01653/K00053/K00812/K01704/K00052/K00164/K00658/K00382/K00627/K00162/K00161",16
"Metabolism","Carbohydrate metabolism","ko00660","C5-Branched dibasic acid metabolism","9/346","29/14346",1.62873421766556e-08,3.42034185709767e-07,2.46453203988868e-07,"K18288/K08691/K01652/K01653/K01704/K00052/K14449/K01903/K01902",9
"Metabolism","Carbohydrate metabolism","ko00630","Glyoxylate and dicarboxylate metabolism","16/346","118/14346",2.32044810481425e-08,4.3315031289866e-07,3.12107055033496e-07,"K17865/K05825/K00282/K02437/K00605/K14446/K08691/K14449/K00024/K00382/K01915/K01458/K03781/K00626/K01091/K14448",16
"Metabolism","Metabolism of cofactors and vitamins","ko00785","Lipoic acid metabolism","9/346","31/14346",3.14182225306764e-08,5.27826138515363e-07,3.80325851687135e-07,"K00282/K02437/K00605/K00164/K00658/K00382/K00627/K00162/K00161",9
"Genetic Information Processing","Translation","ko03010","Ribosome","17/346","143/14346",6.18471948441297e-08,9.44575339437618e-07,6.80615062877983e-07,"K02919/K02876/K02907/K02988/K02881/K02933/K02992/K02950/K02935/K02864/K02913/K02897/K02909/K02884/K02888/K02996/K02871",17
"Metabolism","Amino acid metabolism","ko00280","Valine, leucine and isoleucine degradation","12/346","71/14346",1.14218141851034e-07,1.59905398591447e-06,1.15220055376043e-06,"K01692/K00128/K00382/K01028/K00626/K01029/K08683/K00822/K01640/K01968/K13766/K00140",12
"Metabolism","Carbohydrate metabolism","ko00620","Pyruvate metabolism","16/346","133/14346",1.28542696756971e-07,1.66116715809008e-06,1.19695628559123e-06,"K00175/K00029/K00625/K13788/K00128/K00102/K00656/K15024/K00024/K00382/K00626/K00627/K00162/K00161/K01679/K01676",16
"Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","21/346","241/14346",3.9453260822612e-07,4.73439129871344e-06,3.41137217639127e-06,"K01953/K00821/K00286/K21071/K00266/K00031/K01652/K01653/K00053/K14267/K01739/K01758/K00812/K01704/K00052/K01915/K01808/K11645/K00548/K01689/K01657",21
"Cellular Processes","Cell motility","ko02040","Flagellar assembly","10/346","55/14346",6.5191957498931e-07,7.30149923988027e-06,5.26110534201899e-06,"K02387/K02386/K02415/K02393/K02417/K02412/K02413/K02400/K02409/K02389",10
"Metabolism","Glycan biosynthesis and metabolism","ko00550","Peptidoglycan biosynthesis","9/346","55/14346",5.94899739506454e-06,6.24644726481777e-05,4.50088618705541e-05,"K00790/K05366/K07259/K01921/K00075/K01924/K02563/K03588/K01925",9
"Cellular Processes","Cell growth and death","ko04112","Cell cycle - Caulobacter","7/346","31/14346",7.13265125046373e-06,7.04873770634063e-05,5.07897767060885e-05,"K11357/K02313/K03531/K03590/K03589/K02563/K03588",7
"Metabolism","Carbohydrate metabolism","ko00640","Propanoate metabolism","12/346","104/14346",7.55873064050377e-06,7.05481526447019e-05,5.08335686349669e-05,"K00625/K13788/K01692/K00656/K15024/K01908/K01903/K01902/K00382/K00822/K01734/K00140",12
"Cellular Processes","Cell motility","ko02030","Bacterial chemotaxis","6/346","26/14346",2.88452237200839e-05,0.000255052504472321,0.000183778433673665,"K12368/K03406/K02417/K03414/K10439/K03408",6
"Metabolism","Amino acid metabolism","ko00290","Valine, leucine and isoleucine biosynthesis","5/346","19/14346",6.97689658733305e-05,0.000586059313335976,0.000422285846075422,"K01652/K01653/K00053/K01704/K00052",5
"Metabolism","Metabolism of cofactors and vitamins","ko00670","One carbon pool by folate","8/346","65/14346",0.000160829383994171,0.00128663507195336,0.000927086674653113,"K00282/K02437/K00605/K01251/K01758/K00382/K00297/K00548",8
"Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","8/346","70/14346",0.000270987462826849,0.00206935880704139,0.00149107934091329,"K01955/K00820/K01953/K00266/K13821/K00812/K01915/K00278",8
"Metabolism","Metabolism of cofactors and vitamins","ko00770","Pantothenate and CoA biosynthesis","6/346","45/14346",0.00069400176104195,0.00506923025456729,0.00365264084758921,"K06133/K01918/K00128/K01652/K01653/K00053",6
"Metabolism","Global and overview maps","ko01232","Nucleotide metabolism","10/346","123/14346",0.000786209296683883,0.00550346507678718,0.00396552934730906,"K01494/K00856/K00088/K01951/K21636/K01937/K00769/K08723/K00364/K00761",10
"Metabolism","Amino acid metabolism","ko00340","Histidine metabolism","6/346","47/14346",0.000878675319248135,0.00590469814534747,0.00425463838793834,"K00128/K01458/K01745/K05603/K01468/K01712",6
"Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","20/346","380/14346",0.000938940104607621,0.00606699759900309,0.00437158348299095,"K00208/K01955/K01918/K08679/K09882/K00128/K00097/K00254/K04487/K00643/K00382/K03639/K00767/K00278/K03517/K11752/K01698/K03474/K00950/K01937",20
"Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","9/346","107/14346",0.00112011437943098,0.00696960058312613,0.00502195530739038,"K00175/K21071/K00128/K00382/K11645/K00627/K00162/K00161/K01689",9
"Metabolism","Energy metabolism","ko00910","Nitrogen metabolism","7/346","69/14346",0.00133623002148059,0.00801738012888353,0.00577693430339352,"K05601/K00266/K02586/K02588/K02591/K01915/K01674",7
"Cellular Processes","Transport and catabolism","ko04146","Peroxisome","7/346","74/14346",0.00201194278921776,0.0111000127429032,0.00799812948266835,"K01897/K00031/K17879/K03781/K04564/K01640/K01796",7
"Metabolism","Metabolism of other amino acids","ko00470","D-Amino acid metabolism","6/346","55/14346",0.00201907649787033,0.0111000127429032,0.00799812948266835,"K01921/K01925/K00285/K21060/K12658/K21062",6
"Metabolism","Xenobiotics biodegradation and metabolism","ko00633","Nitrotoluene degradation","4/346","23/14346",0.00204821663708333,0.0111000127429032,0.00799812948266835,"K06282/K06281/K00196/K00198",4
"Metabolism","Amino acid metabolism","ko00310","Lysine degradation","8/346","98/14346",0.00252461669583353,0.013254237653126,0.00955035921121237,"K01692/K00128/K26061/K00658/K00382/K01034/K00626/K01035",8
"Metabolism","Energy metabolism","ko00680","Methane metabolism","12/346","196/14346",0.00289436675982208,0.0147349580500033,0.0106172943342756,"K00625/K13788/K21071/K08691/K00024/K03532/K03533/K07812/K11645/K00196/K00198/K01689",12
