Locus_Tag,Protein Name,log2FC,Tags_list,Subcategories,Confidence_Score,Notes,upstream_Locus_Tag,upstream_tags,downstream_Locus_Tag,downstream_tags
BFJEKD_00225,Hypothetical protein,-1.17885974603293,"hypothetical protein, unknown function",['Transcription Machinery & Regulators'],Low,No functional annotation or domain detected; treat as unknown in downstream analyses.,BFJEKD_00220,"['glycosyltransferase', 'carbohydrate metabolism', 'cell wall biosynthesis']",BFJEKD_00230,"['hypothetical protein', 'unknown function']"
BFJEKD_00595,DUF2442 domain-containing protein,1.22650644464452,"unknown function, DUF2442",['Amino Acid Biosynthesis'],Low,No functional annotation available; protein contains DUF2442 domain of unknown function. Not suitable for functional grouping or DE analysis without further experimental data.,BFJEKD_00590,"['hypothetical protein', 'unknown function']",BFJEKD_00600,"['membrane transporter', 'ABC transporter', 'amino acid transport', 'substrate-binding protein']"
BFJEKD_00785,Uncharacterized protein,2.20979554795157,"hypothetical protein, unknown function",['Mobile Genetic Elements & Plasmid'],Low,No functional annotation available; sequence alone insufficient for confident functional prediction.,BFJEKD_00780,"['anion transporter', 'Na+/H+ antiporter', 'membrane transporter', 'ion transport']",BFJEKD_00790,"['hypothetical protein', 'unknown function']"
BFJEKD_01210,Hypothetical protein,-1.25877027226129,"hypothetical protein, unknown function",['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain information available; cannot assign function or group.,BFJEKD_01205,"['hypothetical', 'unknown function']",BFJEKD_01215,"['membrane transporter', 'MFS transporter', 'major facilitator superfamily']"
BFJEKD_01420,Hypothetical protein,1.32036940694835,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available. Sequence does not match known domains or pathways.,BFJEKD_01415,['unknown function'],BFJEKD_01425,['unknown function']
BFJEKD_01425,Hypothetical protein,1.00760551624303,unknown function,['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain information available.,BFJEKD_01420,['unknown function'],BFJEKD_01430,['unknown function']
BFJEKD_02715,Hypothetical membrane protein,1.98735172568007,"membrane protein, hypothetical",['Aromatic Amino Acid Biosynthesis'],Low,No functional annotation available; predicted membrane localization based on hydrophobic sequence pattern; treat as unknown for grouping and DE analysis.,BFJEKD_02710,"['flagellar motor', 'motility', 'membrane protein']",BFJEKD_02720,"['two-component system', 'chemotaxis', 'phosphatase']"
BFJEKD_04050,Hypothetical protein,1.15615195251714,"hypothetical protein, unknown function",['Carbon Concentrating & Fixation'],Low,No functional annotation or domain detected; cannot assign function or pathway.,BFJEKD_04045,"['lipopolysaccharide biosynthesis', 'membrane protein', 'O-antigen polymerase']",BFJEKD_04055,"['glycosyltransferase', 'carbohydrate metabolism', 'cell wall biosynthesis']"
BFJEKD_04105,VanZ-like family protein,1.03219216243634,"unknown function, VanZ-like protein",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domains detected; function remains unknown.,BFJEKD_04100,"['glycosyltransferase', 'cell wall biosynthesis', 'carbohydrate metabolism']",BFJEKD_04110,"['glycosyltransferase', 'cell wall biosynthesis', 'carbohydrate metabolism']"
BFJEKD_04385,Hypothetical protein,-1.06060983709323,"hypothetical protein, unknown function",['Unknown & Hypothetical Proteins'],Low,No functional annotation or domain detected; consider experimental validation or further computational analysis.,BFJEKD_04380,"['membrane transporter', 'EamA family', 'solute transport']",BFJEKD_04390,"['amino acid biosynthesis', 'phenylalanine biosynthesis', 'enzyme', 'hydrolase']"
