Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_12520,Aldehyde dehydrogenase,"K00128, K00138",9.25219247512027,"Pyruvate metabolism, Glycolysis / Gluconeogenesis","aldehyde dehydrogenase, oxidoreductase, energy metabolism, NAD-dependent enzyme",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, EC, and PFAM domain consistent; involved in aldehyde oxidation and energy metabolism pathways."
BFJEKD_12515,L-threonine dehydrogenase,K13954,8.50263202156844,"Glycine, serine and threonine metabolism","amino acid metabolism, threonine degradation, alcohol dehydrogenase",['Amino Acid Biosynthesis'],High,KO K13954 and EC 1.1.1.1 confirm L-threonine dehydrogenase function; extensive GO terms and PFAM Fe-ADH domain support annotation.
BFJEKD_09290,Fe-S-cluster-containing dehydrogenase component (DMSO reductase),,8.38271947118333,,"electron transport, Fe-S cluster, redox enzyme",['Amino Acid Biosynthesis'],Medium,"Protein likely involved in electron transport via Fe-S clusters; lacks KO and EC annotations, but COG and PFAM support redox function."
BFJEKD_09280,Iron only hydrogenase large subunit,K18006,8.3556493814596,Methane metabolism,"hydrogenase, oxidoreductase, iron-sulfur cluster, energy metabolism",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, EC, GO, and PFAM domains; key enzyme in hydrogen metabolism; important for functional grouping."
BFJEKD_09285,FdhC protein (formate/nitrite transporter),K21993,8.34469224014896,Nitrogen metabolism,"formate transporter, membrane transporter, nitrogen metabolism",['Amino Acid Biosynthesis'],High,Well-annotated transporter with KO and GO terms; important for nitrogen and formate metabolism; relevant for grouping transport proteins.
BFJEKD_09275,Fe-S-cluster-containing hydrogenase component 2,"K00196, K05796, K25124",8.22943622432539,"Methane metabolism, Sulfur metabolism","electron transfer, iron-sulfur protein, hydrogenase component",['Amino Acid Biosynthesis'],Medium,Multiple KO terms related to hydrogenase components; no GO or EC terms; PFAM confirms Fe-S cluster domain; useful for grouping electron transfer proteins.
BFJEKD_05475,hypothetical protein,,7.81452299607766,,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation or domain detected; excluded from functional grouping and DE analysis.
BFJEKD_01595,Hypothetical protein,,7.58304486621918,,"hypothetical protein, unknown function",['Secretion & Transport Systems'],Low,No functional annotation or domain detected; treat as unknown for grouping and DE analysis.
BFJEKD_03555,Carbon starvation protein A (CstA),K06200,7.35112646132297,ABC transporters,"membrane transporter, carbon starvation, stress response",['Toxin-Antitoxin & Phage Defense'],High,Well annotated transporter involved in carbon starvation response; important for stress-related expression analysis.
BFJEKD_03550,Formate acetyltransferase (Pyruvate formate lyase),K00656,6.75397264690239,Pyruvate metabolism,"pyruvate metabolism, anaerobic fermentation, acetyltransferase, energy metabolism","['Protein Folding, Quality Control & Stress Response']",High,"Complete annotation with KO, EC, GO, COG, and PFAM domains consistent with pyruvate formate lyase function; suitable for grouping under anaerobic energy metabolism."
BFJEKD_09345,Electron transport protein HydN (4Fe-4S dicluster domain),"K00196, K05796",6.60429697812115,"Methane metabolism, Carbon fixation pathways in prokaryotes","electron transport, iron-sulfur protein, redox",['Secretion & Transport Systems'],Medium,KO terms indicate involvement in electron transport; no EC or GO terms assigned; PFAM domains confirm iron-sulfur cluster binding.
BFJEKD_09310,Hydrogenase 3 large subunit,,6.59795637036139,Methane metabolism,"hydrogenase, NiFe hydrogenase, energy metabolism, electron transfer","['Protein Folding, Quality Control & Stress Response']",High,PFAM domains and GO terms confirm NiFe hydrogenase function; involved in hydrogen metabolism and energy conversion.
BFJEKD_09340,"Ni,Fe-hydrogenase maturation factor (HycI)",K08315,6.5854383526554,Methane metabolism,"hydrogenase maturation, protease, energy metabolism",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, EC, GO, and PFAM domains; relevant for hydrogenase complex assembly and energy metabolism."
