Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_19115,DUF1127 domain-containing protein,,-8.7247633922812,,"uncharacterized protein, DUF1127",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation beyond DUF and COG unknown; low confidence; treat as hypothetical protein in analyses.
BFJEKD_11705,O-acetylhomoserine aminocarboxypropyltransferase,K01740,-8.6050267186057,Cysteine and methionine metabolism,"amino acid biosynthesis, cysteine metabolism, methionine metabolism, PLP-dependent enzyme",['Amino Acid Biosynthesis'],High,"Complete annotation with KO, EC, GO, and COG consistent with cysteine and methionine biosynthesis; suitable for grouping in sulfur amino acid metabolism."
BFJEKD_12160,EmrA/EmrK family multidrug efflux transporter periplasmic adaptor subunit,K03543,-8.00859937028054,ABC transporters,"membrane fusion protein, multidrug efflux, periplasmic adaptor, antibiotic resistance",['Unknown & Hypothetical Proteins'],High,Component of tripartite multidrug efflux system; critical for grouping in membrane transport and defense mechanisms.
BFJEKD_11710,2-oxobutyrate oxidase,,-7.83672337757173,,"oxidoreductase, iron-dependent enzyme, energy metabolism",['Unknown & Hypothetical Proteins'],Low,"No KO, EC, or GO terms available; annotation based on PFAM and COG only; functional inference limited to oxidoreductase activity."
BFJEKD_11715,aminotransferase,K14267,-7.53502237566766,Lysine biosynthesis,"amino acid biosynthesis, aminotransferase, lysine metabolism",['Amino Acid Biosynthesis'],High,"Complete annotation with KO, EC, GO, and COG; involved in lysine biosynthesis; useful for amino acid metabolism grouping."
BFJEKD_11725,metal ABC transporter substrate-binding protein,K02073,-7.22368847999141,ABC transporters,"membrane transporter, ABC transporter, metal ion transport, substrate-binding protein",['Protein Processing & Degradation'],Medium,KO and COG support ABC transporter function; lack of GO and EC limits annotation completeness; relevant for transport-related grouping.
BFJEKD_12165,Fusaric acid resistance protein TolC,K18139,-7.12159012413399,ABC transporters,"multidrug efflux, outer membrane protein, membrane transporter",['Amino Acid Biosynthesis'],High,"TolC is a well-characterized outer membrane channel component of multidrug efflux systems, important for antibiotic resistance and efflux of toxic compounds."
BFJEKD_11720,2-hydroxy-acid oxidase,K00102,-7.11568887394037,Oxidative phosphorylation,"oxidoreductase, electron transport, energy metabolism, FAD-dependent enzyme",['Amino Acid Biosynthesis'],High,Well-annotated enzyme involved in oxidative phosphorylation; important for energy metabolism grouping.
BFJEKD_11700,Nitrogenase Mo-Fe protein NifD / coenzyme F430 biosynthesis subunit CfbD,K02586,-6.98362105117304,Nitrogen metabolism,"nitrogen fixation, oxidoreductase, iron-sulfur protein, energy metabolism",['Carbon Concentrating & Fixation'],High,KO and EC consistent; annotated as nitrogenase Mo-Fe protein subunit involved in nitrogen fixation.
BFJEKD_18470,hypothetical protein,,-6.70125900023463,,"hypothetical protein, unknown function",['Amino Acid Biosynthesis'],Low,No functional annotation or domain detected; treat as uncharacterized in downstream analyses.
BFJEKD_14705,DUF2934 domain-containing protein,,-6.58395807437883,,unknown function,['Cell Wall & Envelope Biogenesis'],Low,"No KO, EC, GO, or COG annotations; only PFAM DUF2934 domain present; function unknown."
BFJEKD_12155,"MFS transporter, DHA2 family, multidrug resistance protein EmrB",K03446,-6.57705161482938,ABC transporters,"membrane transporter, MFS transporter, multidrug resistance, efflux pump",['Amino Acid Biosynthesis'],High,Well-annotated multidrug efflux transporter; important for grouping in membrane transport and antibiotic resistance.
BFJEKD_18475,hypothetical protein,,-6.31365300053387,,"hypothetical protein, unknown function",['Protein Processing & Degradation'],Low,No functional annotation or domain detected; treat as uncharacterized in downstream analyses.
BFJEKD_14700,DUF4142 domain-containing protein,K08995,-6.30873971463452,,"membrane protein, unknown function",['Cell Wall & Envelope Biogenesis'],Medium,KO K08995 indicates a membrane protein with unknown function; no EC or GO terms available; COG category confirms unknown function.
BFJEKD_14710,ferritin-like domain-containing protein,,-6.29586869841875,,"iron storage, ferritin-like protein","['Protein Folding, Quality Control & Stress Response']",Medium,Annotated as ferritin-like protein involved in iron storage; no KO or EC; COG category supports iron metabolism function.
BFJEKD_11755,O-acetylhomoserine sulfhydrylase,K01740,-6.17185073479724,Cysteine and methionine metabolism,"amino acid biosynthesis, methionine metabolism, pyridoxal phosphate enzyme",['Cell Wall & Envelope Biogenesis'],High,"Complete annotation with KO, EC, COG, PFAM and relevant GO terms; key enzyme in methionine biosynthesis pathway."
BFJEKD_18720,Hypothetical Protein,,-6.15726661078307,,"hypothetical protein, unknown function",['Carbon Concentrating & Fixation'],Low,No functional domains or annotations detected; treat as unknown for grouping and DE analysis.
BFJEKD_18315,Hypothetical protein,,-6.06082426965027,,"hypothetical protein, unknown function",['Toxin-Antitoxin & Phage Defense'],Low,No functional annotation or domain detected; sequence too short for confident prediction.
BFJEKD_13480,TetR/AcrR family transcriptional regulator,,-6.04334114152854,,"transcriptional regulator, TetR family, DNA binding",['Unknown & Hypothetical Proteins'],High,Well characterized TetR family regulator with COG and PFAM support; no KO assigned but strong functional evidence.
BFJEKD_18320,PRC domain-containing protein,,-5.84841857416326,,"PRC domain, signal transduction, regulatory protein",['Toxin-Antitoxin & Phage Defense'],Medium,"PRC domain often involved in regulatory or signal transduction functions; no KO or COG assigned, no PFAM detected but domain name suggests function."
BFJEKD_12170,MarR family transcriptional regulator,K06075,-5.80955999007377,Two-component system,"transcriptional regulator, antibiotic resistance, DNA-binding protein",['Amino Acid Biosynthesis'],High,MarR family regulators control expression of multiple antibiotic resistance genes and respond to environmental stresses.
BFJEKD_11695,Nitrogenase iron protein (NifD),K02591,-5.79434207629745,Nitrogen metabolism,"nitrogen fixation, oxidoreductase, iron-sulfur protein, energy metabolism",['Secretion & Transport Systems'],High,KO and EC consistent; well-annotated nitrogenase iron protein involved in nitrogen fixation.
