Locus_Tag,Protein Name,Functional_Group_Name,KO_IDs,KEGG_Pathway_IDs,KEGG_Pathway_Names,KEGG_Pathway_Categories,COG_Category_ID,COG_Category_Name,EC_Numbers,EC_Descriptions,GO_IDs,GO_Names,PFAM_Domains,Tags,Subcategories,Confidence_Score,Notes,
BFJEKD_00005,Ca2+-binding RTX toxin-related protein,Toxin and Ca2+-binding proteins,,,,,COG2931,Toxin-related proteins,,,['GO:0005509'],['calcium ion binding'],"[{'id': 'DUF4214', 'name': 'Domain of unknown function (DUF4214)'}]","['RTX toxin', 'calcium binding', 'toxin-related', 'membrane-associated']",['Cell Wall & Envelope Biogenesis'],Medium,Protein likely involved in calcium-dependent toxin activity; lacks KO and EC annotations; GO term supports calcium binding function; useful for grouping toxin-related proteins.,
BFJEKD_00010,DUF6447 domain-containing protein,Uncharacterized proteins,,,,,,,,,,,,"['uncharacterized', 'DUF6447']",['Unknown & Hypothetical Proteins'],Low,"No functional annotations available; no KO, EC, GO, COG or PFAM domains detected; annotation based solely on DUF name; low confidence for functional inference.",
BFJEKD_00015,Type II toxin-antitoxin system death-on-curing family toxin,Toxin-antitoxin system proteins,['K07341'],['ko02014'],['Bacterial toxin-antitoxin system'],['Cellular Processes'],COG3654,Toxin-antitoxin system,,,['GO:0016301'],['kinase activity'],"[{'id': 'Fic', 'name': 'Fic domain'}]","['toxin-antitoxin system', 'Fic domain', 'toxin', 'post-translational modification']",['Toxin-Antitoxin & Phage Defense'],High,Well-annotated toxin component of type II TA system; KO and GO terms consistent; important for stress response and plasmid maintenance.,
BFJEKD_00020,Transcriptional regulator SpoVT/AbrB family,Transcriptional regulators,,,,,,,,,,,"[{'id': 'MazE_antitoxin', 'name': 'MazE antitoxin family'}]","['transcriptional regulator', 'antitoxin', 'SpoVT/AbrB family']",['Transcription Machinery & Regulators'],Medium,Likely functions as transcriptional regulator and antitoxin; lacks KO and GO annotations; PFAM domain supports regulatory role; relevant for toxin-antitoxin system regulation.,
BFJEKD_00025,REP element-mobilizing transposase RayT,Transposases and mobile genetic elements,['K07491'],['ko03023'],['Transposase and related proteins'],['Genetic Information Processing'],COG1943,Transposase,,,"['GO:0006313', 'GO:0004803', 'GO:0003677']","['transposition, DNA-mediated', 'endonuclease activity', 'DNA binding']","[{'id': 'Y1_Tnp', 'name': 'Y1 transposase domain'}]","['transposase', 'mobile genetic element', 'DNA binding', 'endonuclease']",['Mobile Genetic Elements & Plasmid'],High,Well-annotated transposase involved in REP element mobilization; KO and GO terms consistent; important for genome plasticity and horizontal gene transfer.,
BFJEKD_00030,Hypothetical protein,Uncharacterized protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Unknown & Hypothetical Proteins'],Low,No functional annotation available; sequence alone insufficient for confident functional prediction.,
BFJEKD_00035,Putative methyltransferase regulatory domain-containing protein,Methyltransferase regulatory domain protein,,,,,,,,,,,"[{'id': 'PF13649', 'name': 'Methyltransf_25'}, {'id': 'PF08241', 'name': 'Methyltransf_31'}, {'id': 'PF13649', 'name': 'MethyTransf_Reg'}]","['methyltransferase regulatory domain', 'methyltransferase', 'regulatory protein']",['Cofactors & Vitamin Metabolism'],Medium,"Contains multiple methyltransferase regulatory PFAM domains; no KO or EC assigned, function likely regulatory in methyltransferase activity.",
BFJEKD_00040,"Ca2+-binding protein, RTX toxin-related",RTX toxin-related Ca2+-binding protein,,,,,COG2931,Toxin-related protein,,,"['GO:0005509', 'GO:0005615']","['calcium ion binding', 'extracellular region']",,"['RTX toxin', 'calcium binding', 'toxin-related protein', 'extracellular protein']",['Cell Wall & Envelope Biogenesis'],High,COG and GO terms support RTX toxin-related function with calcium binding; no KO or EC available.,
BFJEKD_00045,Pirin,Plasmid replication protein (RepA family),,,,,,,,,,,"[{'id': 'PF06970', 'name': 'RepA_C'}]","['plasmid replication', 'RepA family', 'DNA replication']",['Cell Wall & Envelope Biogenesis'],Medium,Annotated as plasmid encoded RepA protein with RepA_C domain; likely involved in plasmid replication initiation.,
BFJEKD_00050,ABC transporter ATP-binding protein,ABC transporter ATPase,['K09691'],['map02010'],,['Membrane transport'],COG1134,ABC-type transport system ATPase component,['7.5.2.14'],['homopolymeric O-antigen transport system ATP-binding protein'],"['GO:0016887', 'GO:0016020', 'GO:0140359', 'GO:0005524']","['ATPase activity', 'membrane', 'lipopolysaccharide transport', 'ATP binding']","[{'id': 'PF00005', 'name': 'ABC_tran'}, {'id': 'PF13445', 'name': 'Wzt_C'}]","['ABC transporter', 'ATPase', 'membrane transporter', 'lipopolysaccharide transport']",['Secretion & Transport Systems'],High,"Complete annotation with KO, EC, GO, COG, and PFAM domains; involved in O-antigen transport as part of ABC transporter system.",['ABC transporters']
BFJEKD_00055,ABC-type polysaccharide/teichoic acid/polyol phosphate export permease protein Wzm (TagG),ABC Transporter - Polysaccharide Export,['K09690'],['map02040'],['Bacterial secretion system'],['Cellular Processes'],COG1682,"ABC-type transport system, permease component",,,"['GO:0015920', 'GO:0140359', 'GO:0016020']","['polysaccharide transport', 'teichoic acid transport', 'membrane']","[{'id': 'PF01061', 'name': 'ABC2_membrane'}]","['ABC transporter', 'polysaccharide export', 'membrane protein']",['Unknown & Hypothetical Proteins'],High,Well-annotated ABC transporter permease involved in polysaccharide export; useful for grouping transport-related proteins and cell envelope biosynthesis.,
BFJEKD_00060,SapC family protein,Membrane Protein - SapC Family,,,,,,,,,,,"[{'id': 'PF03812', 'name': 'SapC'}]","['membrane protein', 'SapC family']",['DNA Replication & Maintenance'],Medium,"No KO, EC, or GO annotations; PFAM domain indicates SapC family membrane protein, possibly involved in peptide transport or stress response.",
BFJEKD_00065,Hypothetical protein,Uncharacterized Protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Mobile Genetic Elements & Plasmid'],Low,No functional annotation or domain detected; treat as unknown for grouping and DE analysis.,
BFJEKD_00070,Replication initiator protein RepA,DNA Replication Initiation Protein,,['map03030'],['DNA replication'],['Genetic Information Processing'],COG5534,Replication initiation protein,,,,,"[{'id': 'PF04796', 'name': 'RPA'}]","['DNA replication', 'replication initiator', 'plasmid replication']",['DNA Recombination & Repair'],Medium,RepA is a plasmid replication initiator; no KO or GO but COG and PFAM support function; important for replication-related grouping.,
BFJEKD_00075,Transposase Tn3 family protein containing DUF4158 domain,Transposase - Mobile Genetic Element,,,,,,,,,,,"[{'id': 'PF01609', 'name': 'DDE_Tnp_Tn3'}, {'id': 'PF13612', 'name': 'DUF4158'}]","['transposase', 'mobile genetic element', 'DNA recombination']",['DNA Recombination & Repair'],Medium,Contains Tn3 family transposase domain; no KO or GO; likely involved in transposition and genome plasticity.,
