Locus_Tag,Protein Name,KO_IDs_list,log2FC,KEGG_Pathways_list,Tags_list,Subcategories,Confidence_Score,Notes
BFJEKD_00020,Transcriptional regulator SpoVT/AbrB family,,-2.78616524461202,,"transcriptional regulator, antitoxin, SpoVT/AbrB family",['Transcription Machinery & Regulators'],Medium,Likely functions as transcriptional regulator and antitoxin; lacks KO and GO annotations; PFAM domain supports regulatory role; relevant for toxin-antitoxin system regulation.
BFJEKD_00725,"Transcriptional regulator, XRE family",K15773,-1.00918071631282,,"transcriptional regulator, XRE family, DNA binding",['Cofactors & Vitamin Metabolism'],Medium,"XRE family transcriptional regulator, likely involved in gene expression control; lacks COG and EC annotations."
BFJEKD_00775,Putative DNA-binding transcriptional regulator YobV (HTH and WYL domains),,2.14730170351237,,"transcriptional regulator, DNA binding, HTH domain, WYL domain",['Mobile Genetic Elements & Plasmid'],Medium,Likely a transcriptional regulator with DNA-binding HTH and WYL domains; no KO or GO terms assigned but domain and COG support regulatory function.
BFJEKD_01130,Transcriptional regulator HxlR-like,,2.42563076605624,,"transcriptional regulator, DNA-binding, helix-turn-helix",['Transcription Machinery & Regulators'],Medium,No KO or GO terms; annotation based on PFAM and COG; likely involved in transcriptional regulation.
BFJEKD_01200,RNA polymerase sigma factor (ECF subfamily),K03088,2.19201428835459,RNA polymerase,"transcription, sigma factor, regulation",['Polyhydroxyalkanoates & Storage Lipids'],High,Well-annotated sigma factor involved in transcription regulation; important for gene expression control and regulatory network analyses.
BFJEKD_01390,SUF system Fe-S cluster assembly regulator (IscR),,-1.91513175343068,,"transcriptional regulator, Fe-S cluster regulation, DNA-binding protein",['Mobile Genetic Elements & Plasmid'],High,"IscR regulates expression of Fe-S cluster assembly genes, linking Fe-S cluster status to transcriptional control."
BFJEKD_01600,XRE family transcriptional regulator,K23779,5.7419259054382,Two-component system,"transcriptional regulator, XRE family, gene regulation",['Secretion & Transport Systems'],High,"Strong evidence from KO, GO, COG, and PFAM; important for regulatory network grouping."
BFJEKD_01610,ArsR family transcriptional regulator,K22042,-1.01105896238548,Two-component system,"transcriptional regulator, arsenic resistance, two-component system",['Signal Transduction'],High,Well-annotated transcriptional regulator involved in virulence and metal resistance regulation; useful for regulatory network analysis.
BFJEKD_02115,TetR/AcrR family transcriptional regulator,,1.74887599774714,,"transcriptional regulator, TetR family, gene regulation","['Carbohydrate Interconversions', 'Glycosyltransferases', 'Cell Wall & Envelope Biogenesis']",Medium,No KO or EC; annotation based on COG and PFAM; typical TetR family regulator involved in transcriptional control.
BFJEKD_02775,RNA polymerase-binding protein DksA,K06204,2.15011385788357,RNA polymerase,"transcription regulation, RNA polymerase binding, amino acid biosynthesis regulation",['Unknown & Hypothetical Proteins'],High,Key transcription factor modulating rRNA and amino acid biosynthesis gene expression.
